Zeta23Ext/Bridge/Helpers_pinching.lean:316:0: 'Zeta23Ext.Bridge.sum_eigenvalues_submatrix_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:317:0: 'Zeta23Ext.Bridge.sum_eigenvalues_pinching_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:318:0: 'Zeta23Ext.Bridge.sum_eigenvalues_submatrix_le_of_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:319:0: 'Zeta23Ext.Bridge.rtrace_specMap_pinching_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_pinching.lean:320:0: 'Zeta23Ext.Bridge.rtrace_specMap_submatrix_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_S8.lean:259:0: 'Zeta23Ext.Bridge.seamA_mult2_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Helpers_S8.lean:260:0: 'Zeta23Ext.Bridge.endgame_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:401:0: 'Zeta23Ext.Bridge.F6_eq' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:402:0: 'Zeta23Ext.Bridge.Phi_eq_Phi_n' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:403:0: 'Zeta23Ext.Bridge.solve_linear' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:404:0: 'Zeta23Ext.Bridge.Phi_paper' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:405:0: 'Zeta23Ext.Bridge.Phi_paper'' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:406:0: 'Zeta23Ext.Bridge.eventually_L_pos' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:407:0: 'Zeta23Ext.Bridge.count_defect' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:408:0: 'Zeta23Ext.Bridge.eventually_h7' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:409:0: 'Zeta23Ext.Bridge.block_bound_eventually' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:410:0: 'Zeta23Ext.Bridge.pre_solve' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:411:0: 'Zeta23Ext.Bridge.n_point_bound' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:412:0: 'Zeta23Ext.Bridge.seven_point_bound' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:413:0: 'Zeta23Ext.Bridge.seven_point_bound_paper' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:414:0: 'Zeta23Ext.Bridge.eventually_Ncount_pos' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:415:0: 'Zeta23Ext.Bridge.seven_point_bound_lab' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:416:0: 'Zeta23Ext.Bridge.seven_point_bound_lab_ratio' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:417:0: 'Zeta23Ext.Bridge.Phi_lab8' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:418:0: 'Zeta23Ext.Bridge.eight_point_bound' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/Main.lean:419:0: 'Zeta23Ext.Bridge.eight_point_bound_ratio' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/S11.lean:295:0: 'Zeta23Ext.Bridge.energyOn_eq_sorted' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S11.lean:296:0: 'Zeta23Ext.Bridge.window_pairs_le_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S11.lean:297:0: 'Zeta23Ext.Bridge.block_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S12.lean:83:0: 'Zeta23Ext.Bridge.specMap_const_one' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S12.lean:84:0: 'Zeta23Ext.Bridge.block_defect_of_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S12.lean:85:0: 'Zeta23Ext.Bridge.block_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S13.lean:157:0: 'Zeta23Ext.Bridge.sq_sub_two_mul_le_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S13.lean:158:0: 'Zeta23Ext.Bridge.offDiagSqOn_submatrix' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S13.lean:159:0: 'Zeta23Ext.Bridge.block_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S14.lean:69:0: 'Zeta23Ext.Bridge.pinching_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S14.lean:70:0: 'Zeta23Ext.Bridge.pinching_submatrix' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S15.lean:354:0: 'Zeta23Ext.Bridge.sum_shift_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S15.lean:355:0: 'Zeta23Ext.Bridge.blockStart_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S15.lean:356:0: 'Zeta23Ext.Bridge.offset_average' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S15.lean:357:0: 'Zeta23Ext.Bridge.spanOf_xret_le_d' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S15.lean:358:0: 'Zeta23Ext.Bridge.span_retained_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:100:0: 'Zeta23Ext.Bridge.Phi_paper' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:101:0: 'Zeta23Ext.Bridge.Phi_paper'' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:102:0: 'Zeta23Ext.Bridge.Phi_lab' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:103:0: 'Zeta23Ext.Bridge.Phi_lab8' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:98:0: 'Zeta23Ext.Bridge.one_sub_div_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S16.lean:99:0: 'Zeta23Ext.Bridge.solve_linear' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S6.lean:100:0: 'Zeta23Ext.Bridge.P₁_eq_simplePart' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S6.lean:101:0: 'Zeta23Ext.Bridge.regroup_posIndex' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S7.lean:69:0: 'Zeta23Ext.Bridge.Vsimple_col_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S7.lean:70:0: 'Zeta23Ext.Bridge.count_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S8.lean:88:0: 'Zeta23Ext.Bridge.tail_passage' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/Bridge/S9.lean:188:0: 'Zeta23Ext.Bridge.kernel_limit' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/Bridge/S9.lean:189:0: 'Zeta23Ext.Bridge.deleted_strips' depends on axioms: [propext, choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:272:0: 'Zeta23Ext.StableRankTrace.Psi_eq_gc_two_add_one' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:273:0: 'Zeta23Ext.StableRankTrace.Psi_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:274:0: 'Zeta23Ext.StableRankTrace.two_mul_sub_one_add_Psi_le' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:275:0: 'Zeta23Ext.StableRankTrace.pmat_eigCols' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:276:0: 'Zeta23Ext.StableRankTrace.xsq_eigCols' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:277:0: 'Zeta23Ext.StableRankTrace.rtrace_specMap_Psi' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:278:0: 'Zeta23Ext.StableRankTrace.stable_rank_trace_sharp' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:279:0: 'Zeta23Ext.StableRankTrace.stable_rank_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:280:0: 'Zeta23Ext.StableRankTrace.stable_rank_trace_no_defect' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:281:0: 'Zeta23Ext.StableRankTrace.stable_rank_trace_collapse' depends on axioms: [propext, Classical.choice, Quot.sound]
Zeta23Ext/StableRankTrace.lean:282:0: 'Zeta23Ext.StableRankTrace.sharp_le_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
